force,strain
10.391697,24.374000000000002
10.391697,3.246
10.391697,2.458
10.391697,1.7910000000000001
10.391697,173.434
10.391697,168.982
10.391697,164.14700000000002
10.391697,128.861
10.391697,124.086
10.391697,119.301
10.391697,80.924
10.391697,76.13000000000001
10.391697,71.341
10.391697,33.779
10.391697,29.379
10.391697,25.145
10.391697,3.4690000000000003
10.391697,2.429
10.391697,1.736
10.391697,175.34199999999998
10.391697,171.31199999999998
10.391697,165.619
10.391697,128.961
10.391697,124.17600000000002
10.391697,119.38499999999999
10.391697,81.009
10.391697,76.21600000000001
10.391697,71.425
10.391697,33.509
10.391697,28.900000000000002
10.391697,24.341
10.391697,3.185
10.391697,2.424
10.391697,1.7710000000000001
10.391697,175.351
10.391697,171.32399999999998
10.391697,165.62900000000002
10.391697,128.971
10.391697,124.186
10.391697,119.39599999999999
10.391697,81.02600000000001
10.391697,76.233
10.391697,71.444
10.391697,33.539
10.391697,28.93
10.391697,24.369999999999997
10.391697,3.209
10.391697,2.44
10.391697,1.783
10.391697,173.434
10.391697,168.982
10.391697,164.14700000000002
10.391697,128.861
10.391697,124.086
10.391697,119.301
10.391697,80.924
10.391697,76.13000000000001
10.391697,71.341
10.391697,33.778
10.391697,29.372
10.391697,25.148
10.391697,3.483
10.391697,2.3810000000000002
10.391697,1.7349999999999999
10.391697,175.34199999999998
10.391697,171.31199999999998
10.391697,165.619
10.391697,128.961
10.391697,124.17600000000002
10.391697,119.38499999999999
10.391697,81.009
10.391697,76.21600000000001
10.391697,71.425
10.391697,33.507999999999996
10.391697,28.898
10.391697,24.337
10.391697,3.148
10.391697,2.406
10.391697,1.7630000000000001
1.0349046,17.462999999999997
1.0349046,17.062
1.0349046,16.495
1.0349046,12.844
1.0349046,12.368
1.0349046,11.891
1.0349046,8.069
1.0349046,7.5920000000000005
1.0349046,7.114999999999999
1.0349046,3.3400000000000003
1.0349046,2.8810000000000002
1.0349046,2.4269999999999996
1.0349046,0.323
1.0349046,0.245
1.0349046,0.17800000000000002
1.0349046,17.272
1.0349046,16.829
1.0349046,16.347
1.0349046,12.833
1.0349046,12.357999999999999
1.0349046,11.881
